pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
324,Invoke-Expression,fa2y/malicious_samples/04546bb1d59614970be25ef1d0170617fcdce816721112c37065123dc2278385.ps1,8,3.5,4.140625,0.640625,1.021484375,0.99169921875
326,Invoke-Expression,fa2y/malicious_samples/6c6a532d65c218edf11c3907110235545cc54700cbb30c39ec070746892d7405-obf-out-encodedasciicommand.ps1,10,-3.3125,-3.3125,0.0,0.0,1.0
328,Invoke-Expression,fa2y/malicious_samples/c8de1b23be55fdd7cd344f4f4f49efad6509d54ec92b019d084bb74e0ef1c1e0-obf-out-encodedoctalcommand.ps1,7,0.0341796875,0.0341796875,0.0,0.0,1.0
334,Invoke-Expression,fa2y/malicious_samples/4f0623d9f0e82f23e9b197e549fb21803c078e9c7fadcbca5c1109429e0fec67-obf-out-encodedoctalcommand.ps1,9,-0.7548828125,-0.7548828125,0.0,0.0,1.0
335,Invoke-Expression,git_129.ps1,5,0.6396484375,0.6396484375,0.0,0.0,1.0
339,Invoke-WebRequest,1362.ps1,3,0.171875,0.828125,0.65625,1.5947265625,0.98046875
341,Invoke-WebRequest,fa2y/malicious_samples/d1727799f2fa203f982f632e38e2add1a8d4591086994422871baa8ba541deb3.ps1,3,2.609375,2.484375,-0.125,1.3037109375,0.986328125
342,Invoke-WebRequest,fa2y/malicious_samples/931e9ed169ed0863ac4d1f3aa76c9ab110006583a131953f6d0dc67fe47b094c.ps1,3,3.9375,5.390625,1.453125,1.2197265625,0.98779296875
344,Invoke-WebRequest,fa2y/malicious_samples/09e9a397f6be8c687f716aed44247aa05c4fd170359c1d20347ac090f426aace.ps1,3,5.921875,6.703125,0.78125,1.0283203125,0.99169921875
345,Invoke-WebRequest,fa2y/malicious_samples/a08f454cf7acc9dd6c0cab691612f3364df7884acedc307ee96fb96edd6f5c96.ps1,6,2.890625,5.984375,3.09375,1.5615234375,0.98095703125
348,Invoke-WebRequest,fa2y/malicious_samples/35f003c6ee4b9261caac262983739bceabc65c859b01414d170942cfd92de495.ps1,9,5.609375,5.78125,0.171875,2.173828125,0.962890625
349,Invoke-WebRequest,3834.ps1,19,10.5625,7.625,-2.9375,2.33984375,0.95703125
351,Invoke-WebRequest,fa2y/malicious_samples/9724cca0b85958d7c2a57c7ad57984f7874c8a1a98f6f6eef4f8871e2ffdb100.ps1,14,0.984375,2.140625,1.15625,2.34375,0.95654296875
354,Invoke-WebRequest,fa2y/malicious_samples/05590a49296fe206ab4dcc4e3cf94bf01f09910ff2c7a047af69d5216a2baf4a.ps1,6,2.265625,5.28125,3.015625,1.6142578125,0.98046875
356,Invoke-WebRequest,fa2y/malicious_samples/317d2f6c25e5f1691bda01bbe0c356d13f5a2c290b46649d7f1d2fa816f70869.ps1,11,0.625,4.75,4.125,1.8154296875,0.97314453125
357,Invoke-WebRequest,fa2y/malicious_samples/bbb4f6581d6d0e726afe3b03fe745b433d268916b2cabe20f873198a94132d3b.ps1,11,0.96875,4.90625,3.9375,1.8515625,0.97265625
358,Invoke-WebRequest,fa2y/bazaar_out/ab545dc8be89dea22434a08beb51b6c922a3fd23c08c17e99b7baa8a94a3fa72.ps1,21,4.703125,2.765625,-1.9375,2.568359375,0.94775390625
359,Invoke-WebRequest,fa2y/malicious_samples/09d22d94fed5919827e32f0f9dbe616cb5b7293ce029b8ad83536ab7c38ef5d1.ps1,11,0.625,4.203125,3.578125,1.8173828125,0.97314453125
362,Invoke-WebRequest,fa2y/malicious_samples/dcd1d5f4c4693ad518f44cf0103b92204afa4292470c73ac0d5ab71da2587407.ps1,6,7.234375,8.546875,1.3125,1.296875,0.98583984375
364,Invoke-WebRequest,fa2y/malicious_samples/8c25c88f09d1360edf837e0cf6b62cf5f789282e5b1f551cadd81f20bd743128.ps1,15,4.015625,5.28125,1.265625,1.2451171875,0.98681640625
365,Invoke-WebRequest,fa2y/bazaar_out/6d303275b4efa0a453a2a97d5c259355f217f9881ad855ca7186613ae8d9bda2.ps1,14,3.625,4.59375,0.96875,1.2626953125,0.98681640625
366,Invoke-WebRequest,fa2y/malicious_samples/6942c318ec01dda1d4b2f08d838a5ef1aa9923e1e2ba8b31e223d37ae09b011a.ps1,14,2.875,4.25,1.375,1.240234375,0.98779296875
367,Invoke-WebRequest,fa2y/malicious_samples/5e720e6b1d6a0f9a7ee4a18ca68e99a144b9b94c96532693473653b7f52b23bf.ps1,26,-0.7001953125,-1.1015625,-0.4013671875,1.9287109375,0.974609375
380,Invoke-WebRequest,fa2y/malicious_samples/820b05da3a92090dd83ad64488549b2cbbd597b8b74510a6247345d3bd17b000.ps1,9,-1.54296875,-1.59375,-0.05078125,1.3525390625,0.984375
