pair_idx,layer,neuron,contribution_delta,malicious_contribution,benign_contribution
61,4,6844,-0.001267988234758377,-0.0031878575682640076,-0.0019198693335056305
61,4,13412,-0.001154378056526184,-0.0017315670847892761,-0.000577189028263092
61,4,6561,-0.0010977862402796745,-0.00041088927537202835,0.0006868969649076462
61,4,7310,-0.0010719993151724339,0.0006142552010715008,0.0016862545162439346
61,4,10311,-0.0010378959123045206,-0.0009203650988638401,0.00011753087164834142
61,4,11812,-0.001035681925714016,-0.001438317820429802,-0.000402635894715786
61,4,12852,-0.0010065026581287384,-0.0014994572848081589,-0.0004929546266794205
61,4,7123,-0.000937693752348423,-0.0011186380870640278,-0.00018094433471560478
61,4,13834,-0.0009286324493587017,-0.00030780350789427757,0.0006208289414644241
61,4,5980,-0.0009238714701496065,-0.0009387126192450523,-1.4841134543530643e-05
61,4,11961,-0.0009095302084460855,-0.0009838864207267761,-7.435621228069067e-05
61,4,8505,-0.0008843420073390007,0.0004550432786345482,0.0013393852859735489
61,4,14150,-0.0008666031062602997,0.0007131677120923996,0.0015797708183526993
61,4,2549,-0.0008661578176543117,-0.0007637795060873032,0.0001023783115670085
61,4,9379,-0.0008547583129256964,-0.0009038485586643219,-4.909027484245598e-05
61,4,14070,-0.0008512610220350325,-3.381164788152091e-07,0.0008509228937327862
61,4,8887,-0.0008339575724676251,-0.000819692388176918,1.4265155186876655e-05
61,5,12100,0.0018668361008167267,-0.0038083456456661224,-0.005675181746482849
61,5,10256,0.0018159467726945877,-0.002408284693956375,-0.004224231466650963
61,5,11419,0.001664430950768292,0.0016723060980439186,7.875114533817396e-06
61,5,3102,0.0016441850457340479,-0.0005614801775664091,-0.002205665223300457
61,5,9581,0.0015185270458459854,0.00460921972990036,0.0030906926840543747
61,5,3171,0.001409516204148531,-0.0008905059657990932,-0.002300022169947624
61,5,12513,0.0012074180413037539,0.000824125949293375,-0.00038329209201037884
61,5,6039,0.001169851515442133,0.0017342464998364449,0.0005643949843943119
61,5,8121,0.0011351073626428843,0.0007059408817440271,-0.0004291664808988571
61,5,13948,0.0011176387779414654,0.00030158506706357,-0.0008160537108778954
61,5,1368,0.0010940504726022482,0.0013921516947448254,0.00029810122214257717
61,5,643,0.0010754819959402084,0.0015546120703220367,0.0004791300743818283
61,5,9614,0.0010618753731250763,-0.002603307366371155,-0.003665182739496231
61,5,4707,0.0010586106218397617,0.0005088518373668194,-0.0005497587844729424
61,5,14042,0.00105728255584836,0.0021241260692477226,0.0010668435133993626
61,5,5017,0.0010438309982419014,0.002799583598971367,0.0017557526007294655
61,5,7352,0.001036879257299006,-2.124521415680647e-05,-0.0010581244714558125
61,5,4044,0.0010198052041232586,0.0012801457196474075,0.00026034051552414894
61,5,11660,0.001018434762954712,0.0012434720993041992,0.0002250373363494873
61,5,4603,0.0010174349881708622,0.0022130170837044716,0.0011955820955336094
61,5,720,-0.0034371092915534973,-0.012882918119430542,-0.009445808827877045
61,5,13840,-0.0018103397451341152,0.0006872904486954212,0.0024976301938295364
61,5,3281,-0.0017964905127882957,0.0005459403619170189,0.0023424308747053146
61,5,9997,-0.0017604827880859375,-0.0050334930419921875,-0.00327301025390625
61,5,7105,-0.001623192336410284,-0.002810223028063774,-0.00118703069165349
61,5,12438,-0.001369359903037548,0.0008085602894425392,0.0021779201924800873
61,5,2506,-0.0013626075815409422,-0.001275048591196537,8.755904855206609e-05
61,5,11982,-0.0013235444203019142,0.0008393386378884315,0.0021628830581903458
61,5,7499,-0.0013158456422388554,-0.001020818017423153,0.00029502762481570244
61,5,3208,-0.0012827077880501747,0.001371673308312893,0.0026543810963630676
61,5,7427,-0.0012413309887051582,-0.001756245270371437,-0.0005149142816662788
61,5,3001,-0.0012077274732291698,1.1429598089307547e-05,0.0012191571295261383
61,5,8474,-0.0011928239837288857,-0.002035079523921013,-0.0008422555401921272
61,5,7217,-0.0011223014444112778,-0.0009371647611260414,0.00018513668328523636
61,5,2879,-0.0011106915771961212,-0.0029357559978961945,-0.0018250644207000732
61,5,7156,-0.0011024214327335358,0.0026718713343143463,0.003774292767047882
61,5,5350,-0.001101866364479065,0.000658724457025528,0.001760590821504593
61,5,2897,-0.001097124069929123,-0.0005483217537403107,0.0005488023161888123
61,5,2966,-0.0010784752666950226,-0.00043341005221009254,0.00064506521448493
61,5,212,-0.0010776914423331618,-0.0008663060143589973,0.00021138542797416449
61,6,5118,0.002045072615146637,-0.0027925819158554077,-0.004837654531002045
61,6,6174,0.001677587628364563,0.005715114995837212,0.004037527367472649
61,6,12958,0.0015627481043338776,-0.006292805075645447,-0.007855553179979324
61,6,3794,0.0015258793719112873,-0.00176704628393054,-0.0032929256558418274
61,6,10934,0.0013921607751399279,0.0005226221401244402,-0.0008695386350154877
61,6,9219,0.0013827993534505367,0.0007388258818536997,-0.000643973471596837
61,6,11147,0.00134199857711792,0.0023476481437683105,0.0010056495666503906
61,6,13732,0.001255272189155221,-0.00020993384532630444,-0.0014652060344815254
61,6,2922,0.0012320838868618011,-0.007566444575786591,-0.008798528462648392
61,6,4569,0.0012295274063944817,0.0018963450565934181,0.0006668176501989365
61,6,7535,0.001192176016047597,-0.0005767194088548422,-0.0017688954249024391
61,6,6945,0.0011579440906643867,-0.001596442423760891,-0.0027543865144252777
61,6,2107,0.0011187144555151463,-0.00041263317689299583,-0.001531347632408142
61,6,3389,0.0011038463562726974,0.002280760556459427,0.0011769142001867294
61,6,11623,0.0011010952293872833,0.0019208332523703575,0.0008197380229830742
