layer,head,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,base_benign_logit_diff,flip_to_benign
12,4,2.328125,-0.15625,-2.484375,-106.71140939597315,26,DownloadString,1113.ps1,3804.ps1,-3.375,True
12,15,2.328125,1.96875,-0.359375,-15.436241610738255,26,DownloadString,1113.ps1,3804.ps1,-3.375,False
12,5,2.328125,2.296875,-0.03125,-1.342281879194631,26,DownloadString,1113.ps1,3804.ps1,-3.375,False
0,11,2.328125,2.359375,0.03125,1.342281879194631,26,DownloadString,1113.ps1,3804.ps1,-3.375,False
12,4,1.9375,-0.46875,-2.40625,-124.19354838709677,27,DownloadString,1113.ps1,2894.ps1,-3.375,True
12,5,1.9375,1.625,-0.3125,-16.129032258064516,27,DownloadString,1113.ps1,2894.ps1,-3.375,False
12,15,1.9375,1.75,-0.1875,-9.67741935483871,27,DownloadString,1113.ps1,2894.ps1,-3.375,False
0,11,1.9375,2.328125,0.390625,20.161290322580644,27,DownloadString,1113.ps1,2894.ps1,-3.375,False
12,4,0.59375,-0.640625,-1.234375,-207.89473684210526,28,DownloadString,1113.ps1,3100.ps1,-3.375,True
0,11,0.59375,0.21875,-0.375,-63.1578947368421,28,DownloadString,1113.ps1,3100.ps1,-3.375,False
12,5,0.59375,0.390625,-0.203125,-34.21052631578947,28,DownloadString,1113.ps1,3100.ps1,-3.375,False
12,15,0.59375,0.625,0.03125,5.263157894736842,28,DownloadString,1113.ps1,3100.ps1,-3.375,False
12,4,4.453125,1.078125,-3.375,-75.78947368421053,29,DownloadString,1113.ps1,3438.ps1,-3.375,False
12,5,4.453125,3.90625,-0.546875,-12.280701754385964,29,DownloadString,1113.ps1,3438.ps1,-3.375,False
12,15,4.453125,4.109375,-0.34375,-7.719298245614035,29,DownloadString,1113.ps1,3438.ps1,-3.375,False
0,11,4.453125,4.21875,-0.234375,-5.263157894736842,29,DownloadString,1113.ps1,3438.ps1,-3.375,False
12,4,4.96875,0.15625,-4.8125,-96.85534591194968,30,DownloadString,1113.ps1,3062.ps1,-3.375,False
12,5,4.96875,4.375,-0.59375,-11.949685534591195,30,DownloadString,1113.ps1,3062.ps1,-3.375,False
0,11,4.96875,4.65625,-0.3125,-6.289308176100629,30,DownloadString,1113.ps1,3062.ps1,-3.375,False
12,15,4.96875,4.84375,-0.125,-2.515723270440252,30,DownloadString,1113.ps1,3062.ps1,-3.375,False
12,4,4.578125,0.640625,-3.9375,-86.00682593856655,31,DownloadString,1113.ps1,338.ps1,-3.375,False
12,15,4.578125,4.0,-0.578125,-12.627986348122866,31,DownloadString,1113.ps1,338.ps1,-3.375,False
12,5,4.578125,4.125,-0.453125,-9.897610921501707,31,DownloadString,1113.ps1,338.ps1,-3.375,False
0,11,4.578125,4.5,-0.078125,-1.7064846416382253,31,DownloadString,1113.ps1,338.ps1,-3.375,False
12,4,1.359375,-0.3125,-1.671875,-122.98850574712642,32,DownloadString,1113.ps1,450.ps1,-3.375,True
0,11,1.359375,0.953125,-0.40625,-29.88505747126437,32,DownloadString,1113.ps1,450.ps1,-3.375,False
12,15,1.359375,1.109375,-0.25,-18.39080459770115,32,DownloadString,1113.ps1,450.ps1,-3.375,False
12,5,1.359375,1.25,-0.109375,-8.045977011494253,32,DownloadString,1113.ps1,450.ps1,-3.375,False
12,4,1.078125,-0.65625,-1.734375,-160.8695652173913,33,FromBase64String,1670.ps1,3780.ps1,-4.75,True
12,5,1.078125,0.515625,-0.5625,-52.17391304347826,33,FromBase64String,1670.ps1,3780.ps1,-4.75,False
12,15,1.078125,0.78125,-0.296875,-27.536231884057973,33,FromBase64String,1670.ps1,3780.ps1,-4.75,False
0,11,1.078125,1.03125,-0.046875,-4.3478260869565215,33,FromBase64String,1670.ps1,3780.ps1,-4.75,False
12,4,0.53125,0.171875,-0.359375,-67.64705882352942,34,FromBase64String,1238.ps1,3537.ps1,-1.109375,False
12,5,0.53125,0.5625,0.03125,5.88235294117647,34,FromBase64String,1238.ps1,3537.ps1,-1.109375,False
12,15,0.53125,0.609375,0.078125,14.705882352941178,34,FromBase64String,1238.ps1,3537.ps1,-1.109375,False
0,11,0.53125,0.75,0.21875,41.17647058823529,34,FromBase64String,1238.ps1,3537.ps1,-1.109375,False
12,4,3.609375,0.921875,-2.6875,-74.45887445887446,35,FromBase64String,2781.ps1,1298.ps1,-0.875,False
12,5,3.609375,3.265625,-0.34375,-9.523809523809524,35,FromBase64String,2781.ps1,1298.ps1,-0.875,False
12,15,3.609375,3.46875,-0.140625,-3.896103896103896,35,FromBase64String,2781.ps1,1298.ps1,-0.875,False
0,11,3.609375,3.96875,0.359375,9.956709956709958,35,FromBase64String,2781.ps1,1298.ps1,-0.875,False
12,4,3.609375,0.921875,-2.6875,-74.45887445887446,36,FromBase64String,2781.ps1,2546.ps1,-0.875,False
12,5,3.609375,3.265625,-0.34375,-9.523809523809524,36,FromBase64String,2781.ps1,2546.ps1,-0.875,False
12,15,3.609375,3.46875,-0.140625,-3.896103896103896,36,FromBase64String,2781.ps1,2546.ps1,-0.875,False
0,11,3.609375,3.96875,0.359375,9.956709956709958,36,FromBase64String,2781.ps1,2546.ps1,-0.875,False
12,4,3.609375,0.921875,-2.6875,-74.45887445887446,37,FromBase64String,2781.ps1,905.ps1,-0.875,False
12,5,3.609375,3.265625,-0.34375,-9.523809523809524,37,FromBase64String,2781.ps1,905.ps1,-0.875,False
12,15,3.609375,3.46875,-0.140625,-3.896103896103896,37,FromBase64String,2781.ps1,905.ps1,-0.875,False
0,11,3.609375,3.96875,0.359375,9.956709956709958,37,FromBase64String,2781.ps1,905.ps1,-0.875,False
12,4,5.0625,1.46875,-3.59375,-70.98765432098766,38,FromBase64String,4207.ps1,git_53.ps1,-2.3125,False
12,5,5.0625,4.4375,-0.625,-12.345679012345679,38,FromBase64String,4207.ps1,git_53.ps1,-2.3125,False
12,15,5.0625,4.6875,-0.375,-7.4074074074074066,38,FromBase64String,4207.ps1,git_53.ps1,-2.3125,False
0,11,5.0625,5.140625,0.078125,1.5432098765432098,38,FromBase64String,4207.ps1,git_53.ps1,-2.3125,False
12,4,8.0703125,1.03125,-7.0390625,-87.2216844143272,39,FromBase64String,1444.ps1,2139.ps1,-3.4375,False
12,5,8.0703125,6.875,-1.1953125,-14.811229428848016,39,FromBase64String,1444.ps1,2139.ps1,-3.4375,False
12,15,8.0703125,7.4375,-0.6328125,-7.841239109390126,39,FromBase64String,1444.ps1,2139.ps1,-3.4375,False
0,11,8.0703125,7.84375,-0.2265625,-2.8073572120038723,39,FromBase64String,1444.ps1,2139.ps1,-3.4375,False
12,4,5.078125,0.046875,-5.03125,-99.07692307692308,40,FromBase64String,1444.ps1,2792.ps1,-3.4375,False
12,5,5.078125,3.875,-1.203125,-23.692307692307693,40,FromBase64String,1444.ps1,2792.ps1,-3.4375,False
12,15,5.078125,4.3125,-0.765625,-15.076923076923077,40,FromBase64String,1444.ps1,2792.ps1,-3.4375,False
0,11,5.078125,5.859375,0.78125,15.384615384615385,40,FromBase64String,1444.ps1,2792.ps1,-3.4375,False
