pair_idx,layer,neuron,contribution_delta,malicious_contribution,benign_contribution
61,7,3995,-0.0025730207562446594,-0.009177107363939285,-0.006604086607694626
61,7,2717,-0.0023873448371887207,0.0025191903114318848,0.0049065351486206055
61,7,5925,-0.002084428444504738,-0.0049284156411886215,-0.0028439871966838837
61,7,1739,-0.0020480970852077007,0.0016426225192844868,0.0036907196044921875
61,7,1715,-0.0020124362781643867,-0.0038555413484573364,-0.0018431050702929497
61,7,2225,-0.0016799985896795988,0.000232272082939744,0.0019122706726193428
61,7,6610,-0.001555759459733963,0.00471089780330658,0.006266657263040543
61,7,10682,-0.0014749467372894287,0.006670352071523666,0.008145298808813095
61,7,5194,-0.0013524745590984821,-0.0011659562587738037,0.00018651830032467842
61,7,1864,-0.0012866718461737037,1.3249562471173704e-05,0.0012999214231967926
61,7,7635,-0.001270548440515995,-0.0025532320141792297,-0.0012826835736632347
61,7,9269,-0.0012358288513496518,-0.0014980733394622803,-0.00026224448811262846
61,7,2975,-0.0012351777404546738,0.00124313123524189,0.0024783089756965637
61,7,9480,-0.0011988359037786722,-0.0011562099680304527,4.262596485204995e-05
61,7,605,-0.0011855042539536953,-0.0006774310022592545,0.0005080732516944408
61,7,7417,-0.0011780764907598495,0.00035497359931468964,0.0015330500900745392
61,7,13650,-0.0011576749384403229,0.004912164062261581,0.006069839000701904
61,7,7148,-0.001157635124400258,-0.0009507648646831512,0.00020687025971710682
61,7,1146,-0.0011494215577840805,-0.0032666604965925217,-0.002117238938808441
61,7,1111,-0.0011306768283247948,0.0007836660370230675,0.0019143428653478622
61,8,1048,0.0032115429639816284,-0.01158633828163147,-0.014797881245613098
61,8,6951,0.002084663137793541,0.006654571741819382,0.004569908604025841
61,8,3891,0.002067787805572152,0.00212998129427433,6.219343049451709e-05
61,8,1407,0.0018658183980733156,6.318773375824094e-05,-0.0018026307225227356
61,8,2383,0.001860742922872305,-0.00044320011511445045,-0.0023039430379867554
61,8,3610,0.0018273405730724335,0.0007427707314491272,-0.0010845698416233063
61,8,3995,0.0015901856822893023,0.001710173673927784,0.00011998799163848162
61,8,5288,0.0015049055218696594,0.003785615786910057,0.0022807102650403976
61,8,4271,0.0014831312000751495,0.0029984675347805023,0.0015153363347053528
61,8,2617,0.001476413570344448,0.0017076805233955383,0.00023126695305109024
61,8,6659,0.0014541344717144966,-0.0019483501091599464,-0.003402484580874443
61,8,12727,0.0013745040632784367,0.001116722822189331,-0.0002577812410891056
61,8,4829,0.0013009198009967804,0.0006747022271156311,-0.0006262175738811493
61,8,10967,0.0012199755292385817,0.000971584115177393,-0.0002483914140611887
61,8,5710,0.0011961925774812698,-0.0016088951379060745,-0.0028050877153873444
61,8,1693,0.0011955653317272663,0.000799231231212616,-0.00039633410051465034
61,8,13189,0.0011525824666023254,0.0008006617426872253,-0.0003519207239151001
61,8,13554,0.001151164062321186,0.0013284911401569843,0.00017732713604345918
61,8,5318,0.001149904914200306,-0.0014877710491418839,-0.00263767596334219
61,8,12379,0.001139674335718155,0.002111821435391903,0.000972147099673748
61,8,1736,-0.003514679614454508,-0.00022097898181527853,0.0032937005162239075
61,8,4326,-0.0023559294641017914,0.0003712065517902374,0.002727136015892029
61,8,14245,-0.0023184618912637234,-6.44003739580512e-05,0.0022540614008903503
61,8,11908,-0.0019737272523343563,-3.790337359532714e-05,0.0019358238205313683
61,8,9245,-0.001958131790161133,-0.004995286464691162,-0.0030371546745300293
61,8,2008,-0.001554654911160469,-0.0053955670446157455,-0.0038409121334552765
61,8,5860,-0.0015102196484804153,-0.0009037591516971588,0.0006064604967832565
61,8,418,-0.0013670772314071655,-0.00020635128021240234,0.0011607259511947632
61,8,62,-0.0013307109475135803,-0.0035467520356178284,-0.002216041088104248
61,8,11094,-0.0013230834156274796,-0.0035820063203573227,-0.002258922904729843
61,8,4801,-0.0013150856830179691,0.0002295314334332943,0.0015446171164512634
61,8,11433,-0.0012955274432897568,-0.0027099531143903732,-0.0014144256711006165
61,8,12650,-0.0012421980500221252,0.00043502077460289,0.0016772188246250153
61,8,12309,-0.00120571069419384,-0.001751248724758625,-0.000545538030564785
61,8,953,-0.0011952923377975821,-0.0011847643181681633,1.0527975973673165e-05
61,8,12866,-0.0011857438366860151,-0.0008614091202616692,0.00032433471642434597
