pair_idx,pair_indicator,malicious_filename,n_indicator_tokens,base_logit_diff,ablated_logit_diff,logit_diff_delta,resid_l2_sensitivity,resid_cosine_similarity
136,DownloadFile,fa2y/malicious_samples/758a7f8168ce5bee94ab3be7b0f49094ebbda49b29bdbf2ddc2fffe9ce00875d.ps1,5,10.296875,5.0,-5.296875,2.470703125,0.94189453125
137,DownloadFile,fa2y/malicious_samples/ef03ad13da02deccc6d4953acb6ccb04af0959a2fffcc75282bd0cc62048c764.ps1,5,12.40625,8.0078125,-4.3984375,1.9423828125,0.9638671875
138,DownloadFile,fa2y/malicious_samples/fe2614f14927177fb7875629ed3de4334d513f4bdc9752bb437a5c826e85f844.ps1,5,12.53125,8.15625,-4.375,1.9345703125,0.96435546875
139,DownloadFile,fa2y/malicious_samples/8dda9183d7180c5cdbf9d9c55eaab049d617d29c507570f7697b3755cb65e3c8.ps1,8,12.828125,4.2265625,-8.6015625,2.51171875,0.9375
140,DownloadFile,fa2y/malicious_samples/14046a8d79e802c440f1346b51b9f5f87e9ff926c8eb207f70ca2917f5b96710.ps1,8,8.7578125,4.828125,-3.9296875,2.515625,0.939453125
141,DownloadFile,fa2y/malicious_samples/3118b6908fd7e139fa258a3105d36c5ff06ed33f3602577b25de383c80eb151d.ps1,8,12.4375,3.6796875,-8.7578125,2.94140625,0.91455078125
142,DownloadFile,fa2y/malicious_samples/39d4117948a9751b718a153dcc5141be85361cd0cca19dbdb81d07a12d1f9c1c.ps1,8,12.2265625,9.515625,-2.7109375,2.701171875,0.9287109375
143,DownloadFile,fa2y/malicious_samples/5d18a6e0b98f8d1575ea206673cac2a98afc055ed997d08c3c78b184954b9ad4.ps1,8,13.0859375,8.5546875,-4.53125,2.693359375,0.9296875
144,DownloadFile,fa2y/malicious_samples/9027882008b222d1f45e46c585c78e752df7f757dbdf5cba22c80e535a77ae9b.ps1,8,11.953125,6.1953125,-5.7578125,2.666015625,0.9306640625
145,DownloadFile,fa2y/malicious_samples/c6e62b103099faee46421c49f87cf6c852d784ab1f872d739e276faba4255d4b.ps1,8,12.984375,8.765625,-4.21875,2.634765625,0.93310546875
146,DownloadFile,fa2y/malicious_samples/53974967c18c4c4f0a6948c389aaa35f2d5c327d7ee7371bd27a4c4494c350dc.ps1,8,13.1171875,8.1171875,-5.0,2.650390625,0.931640625
147,DownloadFile,fa2y/malicious_samples/f150c926cfe5a29f0275f5e2736da8ce9eb5dacd9675fc7966611d6befe64ee7-obf-out-obfuscatedast.ps1,8,13.109375,8.2734375,-4.8359375,2.578125,0.9365234375
148,DownloadFile,fa2y/malicious_samples/f150c926cfe5a29f0275f5e2736da8ce9eb5dacd9675fc7966611d6befe64ee7.ps1,8,13.046875,8.3515625,-4.6953125,2.5390625,0.93798828125
149,DownloadFile,fa2y/malicious_samples/75fac86d6599706fed56e03491268d34ac6fb75ef698c75019267399e1f18120.ps1,8,6.96875,5.484375,-1.484375,3.826171875,0.84423828125
151,DownloadFile,fa2y/malicious_samples/0e3dc014bf88ec47548e8f7cf58fabc56774bdc627c58ad84de824925f15503a.ps1,8,6.4765625,8.9140625,2.4375,2.693359375,0.927734375
152,DownloadFile,fa2y/bazaar_out/87df321193e439a9785109c5c06952389f3bbc50f85a94bd0c3d49982d572a80.ps1,8,11.3828125,5.640625,-5.7421875,4.109375,0.8193359375
153,DownloadFile,fa2y/bazaar_out/d5e824f62021bf489f83526080c047c74eca1dc38eae5a8e8802d8ceceb174a6.ps1,8,11.0234375,6.640625,-4.3828125,2.328125,0.943359375
154,DownloadFile,fa2y/bazaar_out/878d4ed48d0358a9fd65e91cae99b5be1f6b536dc140eb42439fe9e3ebb1d828.ps1,8,10.828125,7.9921875,-2.8359375,2.349609375,0.943359375
155,DownloadFile,fa2y/malicious_samples/b1433e975626edfe29c5938e834afe4c6c2140bf5a89cdb5f99e6f5179ed22c1.ps1,10,3.7265625,4.3828125,0.65625,2.001953125,0.95751953125
156,DownloadFile,fa2y/malicious_samples/74f332a1a8dc9086d1286c22a4d571163d5375b3876c6d95d6877d2221cb3c9d.ps1,16,2.5703125,2.7109375,0.140625,2.265625,0.94384765625
157,DownloadFile,fa2y/malicious_samples/f5970eabcdd2c6d2412e69a5a5bb83a78973fb08434719a3aba900028c376e98.ps1,23,11.0390625,9.65625,-1.3828125,2.4453125,0.93310546875
158,DownloadFile,fa2y/malicious_samples/ea37f37f24769bff5b02516545b4915cf8602d6d2271b07c4bd9a1d0bbff482e.ps1,15,5.4375,4.8515625,-0.5859375,1.1240234375,0.98583984375
160,DownloadFile,fa2y/malicious_samples/1a2d540d0b1df9c28285fa09638cef94ff58a65646f7cc60f9e6d307e0b3faf0.ps1,5,6.453125,5.5703125,-0.8828125,0.6416015625,0.99560546875
163,DownloadString,450.ps1,7,5.8125,0.28125,-5.53125,4.265625,0.798828125
164,DownloadString,3062.ps1,7,9.78125,3.703125,-6.078125,4.03125,0.8173828125
165,DownloadString,338.ps1,7,10.90625,4.46875,-6.4375,3.189453125,0.8896484375
167,DownloadString,fa2y/malicious_samples/cc76beb5bcf6880dee2d739a37e218871500d5d610c7989e7371b2594c2d594e.ps1,7,8.7421875,3.1796875,-5.5625,4.578125,0.76123046875
168,DownloadString,3100.ps1,7,6.015625,0.09375,-5.921875,2.994140625,0.9033203125
169,DownloadString,3438.ps1,7,10.3984375,2.7890625,-7.609375,2.603515625,0.92822265625
171,DownloadString,fa2y/malicious_samples/67508635020243fc67eb003f214fc569733988db121516a1571f3c8de2589864.ps1,7,9.65625,2.875,-6.78125,3.677734375,0.85498046875
172,DownloadString,fa2y/malicious_samples/f1f2958356c98c4d296a747490c067cc11cd53b2812e5d69846069aef6d9adb6.ps1,8,4.9609375,1.2578125,-3.703125,3.013671875,0.89990234375
173,DownloadString,2190.ps1,7,4.3671875,0.6796875,-3.6875,2.98828125,0.90185546875
175,DownloadString,fa2y/malicious_samples/fdba92ecb596bc4e8b5cde86b7a791bd7534f2a3f6f6b4c1bb65a51749419bc4.ps1,7,12.84375,3.46875,-9.375,2.314453125,0.94775390625
176,DownloadString,fa2y/malicious_samples/5818b55f0789ac764eb6197cf33ee9e28e52c131f6a6eef3dc766e536d97a8a0.ps1,7,13.28125,9.953125,-3.328125,2.037109375,0.95947265625
177,DownloadString,fa2y/malicious_samples/daef062c241fb8b9f19ec13f89d012758c4ab9e08c717265997848244afc5497.ps1,7,13.0703125,11.296875,-1.7734375,3.080078125,0.90625
