layer,component,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
8,attn,3.2890625,2.328125,-0.9609375,-29.216152019002372,3,DownloadString,1113.ps1,450.ps1,False
14,attn,3.2890625,2.390625,-0.8984375,-27.315914489311165,3,DownloadString,1113.ps1,450.ps1,False
15,attn,3.2890625,2.4140625,-0.875,-26.60332541567696,3,DownloadString,1113.ps1,450.ps1,False
9,attn,3.2890625,2.4453125,-0.84375,-25.653206650831358,3,DownloadString,1113.ps1,450.ps1,False
1,attn,3.2890625,2.453125,-0.8359375,-25.415676959619955,3,DownloadString,1113.ps1,450.ps1,False
31,attn,3.2890625,2.5625,-0.7265625,-22.090261282660332,3,DownloadString,1113.ps1,450.ps1,False
29,mlp,3.2890625,2.6796875,-0.609375,-18.52731591448931,3,DownloadString,1113.ps1,450.ps1,False
27,attn,3.2890625,2.734375,-0.5546875,-16.864608076009503,3,DownloadString,1113.ps1,450.ps1,False
21,mlp,3.2890625,2.765625,-0.5234375,-15.914489311163896,3,DownloadString,1113.ps1,450.ps1,False
30,mlp,3.2890625,2.8203125,-0.46875,-14.251781472684085,3,DownloadString,1113.ps1,450.ps1,False
10,attn,3.2890625,2.921875,-0.3671875,-11.163895486935866,3,DownloadString,1113.ps1,450.ps1,False
15,mlp,3.2890625,2.9375,-0.3515625,-10.688836104513063,3,DownloadString,1113.ps1,450.ps1,False
17,mlp,3.2890625,2.953125,-0.3359375,-10.21377672209026,3,DownloadString,1113.ps1,450.ps1,False
19,mlp,3.2890625,2.9609375,-0.328125,-9.97624703087886,3,DownloadString,1113.ps1,450.ps1,False
21,attn,3.2890625,3.03125,-0.2578125,-7.8384798099762465,3,DownloadString,1113.ps1,450.ps1,False
17,attn,3.2890625,3.0390625,-0.25,-7.600950118764846,3,DownloadString,1113.ps1,450.ps1,False
19,attn,3.2890625,3.1640625,-0.125,-3.800475059382423,3,DownloadString,1113.ps1,450.ps1,False
13,mlp,3.2890625,3.171875,-0.1171875,-3.5629453681710213,3,DownloadString,1113.ps1,450.ps1,False
3,attn,3.2890625,3.2109375,-0.078125,-2.375296912114014,3,DownloadString,1113.ps1,450.ps1,False
26,mlp,3.2890625,3.2109375,-0.078125,-2.375296912114014,3,DownloadString,1113.ps1,450.ps1,False
30,attn,3.2890625,3.234375,-0.0546875,-1.66270783847981,3,DownloadString,1113.ps1,450.ps1,False
1,mlp,3.2890625,3.236328125,-0.052734375,-1.6033254156769599,3,DownloadString,1113.ps1,450.ps1,False
23,mlp,3.2890625,3.296875,0.0078125,0.23752969121140144,3,DownloadString,1113.ps1,450.ps1,False
23,attn,3.2890625,3.328125,0.0390625,1.187648456057007,3,DownloadString,1113.ps1,450.ps1,False
